"","V1","V2","V3","V4","V5"
"265","AR6J3X81187FB59A7B",40.65507,-73.94888,"TRACTLX128F42A51F6","Matisyahu"
"266","AR6KNZ01187B9A35D1",34.05349,-118.24532,"TRBICPL128F9303BB0","Justo Almario"
"267","AR6LOPL1187FB4DABE",38.8991,-77.029,"TRAGNXF128F933A80E","Mirah"
"268","AR6MUJ91187B99DAAA",28.63951,-106.07218,"TRANUUU12903CD4347","Event Horizon"
"269","AR6OTKA1187B9B6697",34.16788,-111.9307,"TRBCQLB128F9332CF4","32 Leaves"
"270","AR6QQY41187B990574",56.46137,-2.96761,"TRAJHHJ128F4279625","Danny Wilson"
"271","AR6RG8J1187B9A815C",51.50632,-0.12714,"TRAIXJZ12903CEDB1D","The Frantic"
"272","AR6RXJD1187B9B8B23",39.74001,-104.99226,"TRAIPAC128F9320FAA","Grace Gale"
"273","AR6TD9K1187B9A207D",35.00459,-91.25019,"TRACJVF128F92D2DB3","Sister Rosetta Tharpe"
"274","AR6TKMQ1187B9ACEDA",40.65507,-73.94888,"TRAUDIS12903CC453A","Barry Mann"
"275","AR6TZJQ1187B9AD572",45.60718,4.06212,"TRAMEQB128F42710BB","Pierre Boulez"
"276","AR6UQ8H1187B99DA9E",34.16612,-106.02612,"TRBEUQH128F93152E8","Chacho"
"277","AR6UVLC1187B9B4D4C",42.33168,-83.04792,"TRAIDUU128F145B15D","Suzi Quatro"
"278","AR6W5MS1187FB3BF47",34.05349,-118.24532,"TRARQWJ128F92E9CCA","Little Feat"
"279","AR6WICD1187B998708",39.95227,-75.16237,"TRACCMO12903CA4168","Christian McBride"
"280","AR6XZ861187FB4CECD",53.40977,-2.97848,"TRAHSSO128EF347345","The Beatles"
"281","AR6Y8JF1187B9BA1D5",33.92192,-93.14939,"TRACAMK128F4265F0D","Jimmy Witherspoon"
"282","AR7358P1187B9B6880",41.50075,-99.68095,"TRAJSPE12903C9F712","Lexi"
"283","AR74W1A1187FB5ACFC",48.20254,16.3688,"TRAXHFY128F932E4E7","Devanic"
"284","AR76YOD1187FB46B24",40.71455,-74.00712,"TRAJLGV128F4232684","Joshua Rifkin"
"285","AR77B521187FB4CC70",37.16793,-95.84502,"TRAJNFU128F4263469","Lennie Tristano"
"286","AR77FBJ1187FB49D8D",42.33168,-83.04792,"TRAOXOP128F932D45C","Rance Allen Group"
"287","AR78WG01187B98E404",19.45565,-70.70719,"TRASXGY128F92C9FC1","Johnny Pacheco"
"288","AR78ZID1187B9B31ED",18.11526,-77.27348,"TRAIADF12903D0023E","Mikey Dread"
"289","AR7AOEJ1187FB3D279",33.35303,-90.59005,"TRAXTQS128F428AC41","Little Milton"
"290","AR7BMMV1187FB5B2D7",39.15093,-123.2079,"TRAIQVJ128F93235B3","Robben Ford"
"291","AR7BPLI1187FB4A306",37.77916,-122.42005,"TRATMRD12903CBA632","Anthony Blea Y Su Charanga"
"292","AR7CKG21187B9AD40F",39.73926,-89.50409,"TRAPALW128F9337460","Tijuana Hercules"
"293","AR7EF9H1187FB4D8A3",30.53301,-92.08238,"TRAUNMO128F92F4C25","Rod Bernard"
"294","AR7EL201187B9B85D9",39.52517,-87.1187,"TRAXXIT128F4263075","Henry Lee Summer"
"295","AR7FDIB1187B99AC5F",51.50632,-0.12714,"TRATPDA12903CB2D90","The Equals"
"296","AR7G0NH1187FB42E47",34.82973,-89.5647,"TRAEUCH128F427FA5E","Gus Cannon"
"297","AR7GOK91187FB455F5",48.85692,2.34121,"TRAJLEC128F93385A1","Jean-Jacques Goldman"
"298","AR7GUNF1187B990CCF",35.2225,-80.83754,"TRAHVZW128F146477A","Between The Buried And Me"
"299","AR7ISJJ1187B9B2CD6",31.1689,-100.07715,"TRBASDY128F9327DB8","Danny Barnes"
"300","AR7IYVY1187B9A2648",69.65102,18.95574,"TRBGGBF128F425E4D1","bel canto"
"301","AR7JPF81187B988D23",32.29869,-90.18049,"TRAHSHB128F426E253","Charlie McCoy"
"302","AR7KKE01187FB3D87B",31.58076,-84.15601,"TRAZKOL128F4234128","Russell Malone"
"303","AR7MNIX1187B9A2A68",34.05349,-118.24532,"TRAJFQF128F92E354E","Tyrone Wells"
"304","AR7N7MI1187FB46935",7.37884,3.89527,"TRACUCQ128F92FFBF7","Sade"
"305","AR7OCK81187B98D1F1",34.05349,-118.24532,"TRAIZLC12903CE6A57","Debbie Davies"
"306","AR7OEB71187B995A17",50.93364,4.22417,"TRAXMJB128F427089F","Henri Pousseur"
"307","AR7Q6QB1187B98A864",27.9758,-81.54106,"TRAMLZU128F4284A13","Amilcar"
"308","AR7QAHN1187FB35F8B",26.12367,-80.14356,"TRAEQOW128F42521E3","Groucho Marx"
"309","AR7S48C1187B99711E",33.15049,-96.83464,"TRABHVF128F425A0C9","Zuzu Bollin"
"310","AR7SF1N1187B9A91D1",33.56173,-81.72239,"TRAXALK128F1462FF7","John Berry"
"311","AR7TTCH1187FB3F95C",34.60515,-98.38983,"TRAHSIK12903CD4EB1","Leon Russel"
"312","AR7TTS41187B9B42D3",34.36401,-89.51877,"TRAJNTJ12903CDB09A","R.L. Burnside"
"313","AR7UBXR1187B9AA0FB",52.47859,-1.9086,"TRBHLTT128F425C30D","Musical Youth"
"314","AR7V3VQ1187B9A08AA",30.2676,-97.74298,"TRAJOER128F92F145A","At All Cost"
"315","AR7W7Z01187B998286",37.82245,-85.69091,"TRAWNOJ128F4241807","Dark new Day"
"316","AR7XU1L1187B98D481",42.31256,-71.08868,"TRAQZWH128F934B093","DMZ"
"317","AR80BY41187B98DECF",33.45081,-90.645,"TRAYGYY128F92CB1CE","Albert King"
"318","AR80OOA1187B98E726",38.25486,-85.7664,"TRATHRY128F92C319D","Love Jones"
"319","AR80YG31187FB58A13",40.71455,-74.00712,"TRBFPMP12903CAF2C3","The Bronx Horns"
"320","AR82DJK1187B991107",34.05349,-118.24532,"TRABJZT128F425C8DC","The Pharcyde / Big Boy / Schmooche Cat / Randy Mack"
"321","AR82GTS1187FB5662F",53.41961,-8.24055,"TRABOOL128F426E836","Mary Black"
"322","AR8360R1187FB47C18",51.50632,-0.12714,"TRAXNOE128F149158A","Cass Fox"
"323","AR84AQE1187B98AD9C",36.068,-90.9564,"TRANNJC128F429F7E3","Washboard Sam"
"324","AR84BEJ1187FB58F65",39.95227,-75.16237,"TRAPWGW128F92F8F7C","David Raksin"
"325","AR858UO1187FB437B4",35.21962,-80.01955,"TRAHGMC128F92FB531","Precious Bryant"
"326","AR85E3Q1187B997BCA",30.42084,-87.21724,"TRAVOWQ128F931412C","Benny Spellman"
"327","AR86QIW1187B9AD8F0",32.31928,-86.89775,"TRAPIWW128F42514F5","Clarence Fountain"
"328","AR88F5X1187FB3EA17",36.16778,-86.77836,"TRAEPGQ128F932AE6D","Loretta Lynn"
"329","AR89DTT1187B9A7ED5",37.77916,-122.42005,"TRAAEOU128F9309DE0","Suzanne Ciani"
"330","AR8ANXA1187B98BFC3",57.70133,11.96689,"TRASZQB12903CAAE1B","Hellsongs"
"331","AR8AZTM1187FB3FB9C",40.4203,-3.70577,"TRBAYDA12903CD157D","Julio Iglesias Jr."
"332","AR8BMEQ1187B9B4214",38.2589,-92.43659,"TRAIIRM128F933E946","Pumpkin Buzzard"
"333","AR8CT8U1187FB4D803",52.47859,-1.9086,"TRAESWB128F149CB2C","Dexys Midnight Runners"
"334","AR8FMEN1187FB4A657",34.05349,-118.24532,"TRAHHPE128F934AC3B","Lizzy Borden"
"335","AR8GEH21187FB4F83E",14.56298,121.02183,"TRAYQCQ12903C99425","6CycleMind"
"336","AR8H87D1187FB3A841",34.03142,-93.50243,"TRAOXEU128F4299BE5","Glen Campbell"
"337","AR8HQBB1187B99F7BB",41.70671,-73.92937,"TRAWCGS128F934BE2F","Shai Hulud"
"338","AR8I87E1187FB57E2E",34.26624,-118.4164,"TRAYHZU12903CF0DFC","Andrae Crouch"
"339","AR8ICFK1187FB5A3A0",42.33168,-83.04792,"TRALRYI128F147158D","Rance Allen Group"
"340","AR8IS591187B9981AE",35.96043,-92.66602,"TRASZCV128F42569C7","Elton Britt"
"341","AR8J32V1187FB4F874",49.08215,33.43009,"TRAKSDX12903CD9205","Dimitri Tiomkin"
"342","AR8K6F31187B99C2BC",46.44231,-93.36586,"TRBAMHJ128F425AAF4","Go Fish"
"343","AR8L3QV1187FB4C0BB",-34.60852,-58.37354,"TRBCJDC128EF35DF44","Bruno Sanfilippo"
"344","AR8LD3R1187FB4D08F",30.9742,-91.52382,"TRACETS128F9313A75","C.C. Adcock"
"345","AR8M6LC1187B998D48",34.41925,-119.69887,"TRBAIAW128F92C5652","Motograter"
"346","AR8PL5L1187FB37A10",37.27188,-119.27023,"TRAFYNE128F422F3CB","A Perfect Murder"
"347","AR8Q4RZ1187FB46BDC",33.01158,-94.365,"TRACHYC12903CEAAB6","T-Bone Walker"
"348","AR8RXRI1187FB4104B",39.95227,-75.16237,"TRAHVUK128F1456988","The Roots"
"349","AR8SBT41187B9A5FD9",40.99471,-77.60454,"TRBGCWM12903CF5BF7","Total Fucking Destruction"
"350","AR8SRQ31187FB4D477",52.94922,-1.14392,"TRACNXS128F93395BA","Ten Years After"
"351","AR8UA7Z1187B9AD9C9",48.10751,-1.68447,"TRARXJJ128F1452983","Étienne Daho"
"352","AR8V1WA1187B9AD9E9",42.33168,-83.04792,"TRAXLPR128F428E466","The White Stripes"
"353","AR8W8DN1187FB35ED0",34.05349,-118.24532,"TRAHWSF128F934B190","The Germs"
"354","AR8WHEJ1187B98CDCA",34.7519,-92.13055,"TRAIMGT128F935F8F2","Dee Clark"
"355","AR8XG9J1187FB418C1",33.54243,-90.53727,"TRAATXO128F92D97A6","Jerry Butler"
"356","AR8YUQT1187FB531D0",37.27188,-119.27023,"TRAVQWO128F429BC6B","Montrose"
"357","AR8YV1I1187FB45D2B",40.71455,-74.00712,"TRAAIGD12903CA2F3C","Rory Block"
"358","AR8ZTV41187FB3F311",57.15382,-2.10679,"TRAFVTW128F92CDA70","James Scott Skinner"
"359","AR90X8J1187B995250",62.19845,17.55142,"TRBERCZ128E0787D93","Caramell"
"360","AR91C8S1187B990901",40.23447,-74.29504,"TRAOPRI12903C9FC25","Bruce Springsteen"
"361","AR91DZT1187FB4C599",52.47859,-1.9086,"TRBBBFO128F931535D","Frost"
"362","AR91GW21187FB4F642",32.74863,-97.32925,"TRBCCLU12903CDBAC4","Roger Miller"
"363","AR93D4D1187FB3ACAD",35.472,-97.52033,"TRACRBQ128F4263964","J.J. Cale"
"364","AR93K7R1187B9AC92A",59.91228,10.74998,"TRAOAFJ12903CF9652","Black Debbath"
"365","AR93RTI1187B98ECFB",30.38815,-96.0878,"TRAXWIG128F4230D19","Mance Lipscomb"
"366","AR93WAA1187FB42116",41.35644,-72.09647,"TRAPBHY128F148946F","Cassie"
"367","AR95F611187B99CE1C",35.14968,-90.04892,"TRBBVDW128F932262A","Anita Kerr"
"368","AR95QS71187FB3F49A",32.67828,-83.22295,"TRARVMJ128F146A77E","Joi"
"369","AR9788H1187B9A05D1",39.95227,-75.16237,"TRACVTK128F4288966","Outerspace"
"370","AR97EHA1187B98AD5F",30.33138,-81.6558,"TRAATNN128F92FD35F","Blind Blake & The Royal Victoria Hotel Calypsos"
"371","AR99OWM11C8A4149FD",46.25605,7.6244,"TRALGEJ128F932552A","Arco Iris"
"372","AR9AM2N1187B9AD2F1",53.4796,-2.24881,"TRARBJW128E0788A1A","Inspiral Carpets"
"373","AR9AN471187B99E0DA",33.74831,-84.39111,"TRAAOTT128F14AE002","Scott Wesley Brown"
"374","AR9DO2O1187FB53637",50.97768,11.02307,"TRAJOZN128F92D688E","ColdWorld"
"375","AR9EZGO1187B9A401F",36.73112,-91.85307,"TRAAYRA128F92E9CC7","Jan Howard"
"376","AR9G2A41187B99951A",43.58828,-79.64372,"TRAYNVX128F933091B","Las Niñas"
"377","AR9ILJF1187B9B80ED",33.89275,35.48527,"TRAHEPG12903CAECB2","Gabriel Yared"
"378","AR9JLBU1187B9AAEC4",-33.96243,25.62326,"TRANRGH128F930779A","Danny Williams"
"379","AR9K6SJ1187B989A32",40.14323,-74.72671,"TRBBXXC128F427044F","Cassius Clay"
"380","AR9KWJK1187FB4A531",18.22328,-66.42889,"TRABVAR128F421CFCB","Willie Rosario"
"381","AR9LJ9D1187FB4303D",18.01571,-76.79731,"TRAHEEY128F9335ECD","Sean Kingston"
"382","AR9LT7R1187FB4543A",30.16602,-96.39998,"TRAZBPE128F936741A","Darden Smith"
"383","AR9M9XY1187B98B2F8",30.08374,31.25536,"TRAVAUF128F93033E5","Abbott & Chambers"
"384","AR9N3N31187B9B87CC",51.48126,-3.18067,"TRAZUBN128F426F002","Hunters"
"385","AR9NA5G1187B98F460",42.33168,-83.04792,"TRAXQNF128F1486DD9","The Raconteurs"
"386","AR9O0LF1187B99D0D1",40.71455,-74.00712,"TRAXBLJ128F92EEBB1","Aisha Duo"
"387","AR9O98A1187FB39621",40.71455,-74.00712,"TRASHPV128F4281CB1","The Strokes"
"388","AR9OLFX1187B9A5762",31.30757,-96.63166,"TRACHSH12903CEBC2C","Bob Wills"
"389","AR9OTFC11C8A415220",55.67631,12.56935,"TRAHKEG12903CDB829","D.A.D."
"390","AR9RTS51187B996CC8",19.59009,-155.43414,"TRACFJE128F934C8D5","John Legend [feat. Buju Banton]"
"391","AR9ST641187B99B4DE",38.62774,-90.19951,"TRAFMNM128F4251008","Cal Tjader"
"392","AR9SU0S1187FB53D0F",37.27188,-119.27023,"TRBHOXO128F932A739","Easy Star All-Stars"
"393","AR9VEMN1187FB4D75B",51.50632,-0.12714,"TRAFCZM128F931AD24","Caspa"
"394","AR9VI9M1187FB410CC",41.58979,-93.61566,"TRAQYZO128F930BC98","To My Surprise"
"395","AR9YQN31187FB45B34",39.95227,-75.16237,"TRAAXMC128F14A53EA","James Darren"
"396","ARA0JEL1187B998FA3",49.26044,-123.11403,"TRAXGZE128F4287B9E","Dub Wiser"
"397","ARA0YAE1187B9B1D16",35.21962,-80.01955,"TRAILRO12903CAF936","John Brown"
"398","ARA26TC1187B9B8505",37.27188,-119.27023,"TRANROU12903CE0B65","Bukue One"
"399","ARA2CR31187FB36A39",49.38426,-84.75627,"TRAXUQB12903CF2E82","The Kitchen"
"400","ARA2ZTN1187B98E3ED",41.50471,-81.69074,"TRAJRXL128F42760EC","This Moment"
"401","ARA65601187FB57BD9",40.71455,-74.00712,"TRAYUEL128F4290B28","Roger Sanchez"
"402","ARA6QLT1187FB4CB89",34.74865,-92.27449,"TRBGGRU12903CAAA2D","Dan Hicks"
"403","ARA7EEC1187FB4C392",49.01037,8.4092,"TRAOPXD128F9326B04","Snowgoons"
"404","ARA7WV51187FB532B0",44.48721,-71.56889,"TRACBEI128F42558D3","GG Allin"
"405","ARA82JG1187FB36131",40.76596,-95.3756,"TRAGBMD128F429AB9D","Charlie Haden & Chris Anderson"
"406","ARA8O8L1187B9AD61D",30.79062,-89.8643,"TRAMPHV12903CF952C","Professor Longhair"
"407","ARAAP251187B99DDE0",10.73445,-71.63056,"TRBEVZN128F9330A0D","Guaco"
"408","ARADC5W1187B993322",36.16778,-86.77836,"TRAOOQN12903CEB763","Dottie Rambo_ The Whites"
"409","ARAG1DX1187B98BB10",41.88415,-87.63241,"TRALLQX12903CD838C","Ben Sidran"
"410","ARAH4TU1187FB51D28",38.62666,-88.94561,"TRAEMTU128EF363016","Bill Laswell"
"411","ARAHILU122988FD7D1",37.77916,-122.42005,"TRAPOEB12903CA4E41","Mind Furniture"
"412","ARAJ5XN1187B9B578B",39.73926,-89.50409,"TRAQESC128F92D9527","Jimmy Johnson"
"413","ARAJPHH1187FB5566A",40.7038,-73.83168,"TRAACSL128F93462F4","The Shangri-Las"
"414","ARAK3HK1187FB51B38",-24.9162,133.39311,"TRBATNQ128F4227DD7","The Stems"
"415","ARAKARO1187B9A1EB6",51.50632,-0.12714,"TRAGAPY128F92F5DDE","George Michael"
"416","ARAKX8D1187B98CCE2",35.83073,-85.97874,"TRAXEUB12903CBAA99","Bob Cheevers"
"417","ARALEAC1187B9902A8",51.89834,-8.47277,"TRAITHR128F42B7E26","Rubyhorse"
"418","ARALP6I1187B989E27",40.86034,-74.12374,"TRAHBWE128F9349247","The Shirelles"
"419","ARALUUG1187FB58696",30.43883,-90.44116,"TRAIHSY128F1484AB6","Irma Thomas"
"420","ARAOADX1187B98AED3",36.15398,-95.99277,"TRAXDJG12903D042A2","Dwight Twilley"
"421","ARAOPEF1187B995099",32.61518,-93.286,"TRAVEOQ128F931C8F4","Percy Mayfield"
"422","ARAPI451187B9B6E6F",35.472,-97.52033,"TRACYBU128F14AE4DD","John Michael Talbot"
"423","ARAPLFD1187B98DABD",27.9758,-81.54106,"TRALUQG128F4263E40","Robin Fox"
"424","ARAQOK81187B98DD4A",37.16793,-95.84502,"TRASNDM128F92E17E7","Ginny Owens"
"425","ARASJQK1187FB5B9D1",35.61301,-90.33078,"TRAENGY128F4272846","Buddy Jewell"
"426","ARASSX21187FB528B7",52.8029,-2.10633,"TRAAQOH128F4265CE6","Bizarre Inc"
"427","ARASWKT1187B9923B7",38.62774,-90.19951,"TRARZFN128F42680B8","Felix Slatkin/Concert Arts Symphonic Band"
"428","ARASYMJ1187B9ACAF2",51.50632,-0.12714,"TRACYXW128F4297569","Whitesnake"
"429","ARAU2Q51187FB50D4C",32.34747,-95.2943,"TRAMVYI128EF35FDD8","Smiley"
"430","ARAVPU21187B993957",40.19033,-82.66947,"TRAQOMM12903CC1D1C","Don & Juan"
"431","ARAVWPR1187FB4736D",7.33532,-72.94832,"TRBDGRE128F92EF768","Mac Dre"
"432","ARAWBUP1187B9B93FC",34.7519,-92.13055,"TRASUKM128F422AA6F","Casey Bill Weldon"
"433","ARB054P1187B9AD32E",37.77916,-122.42005,"TRAYUCR128F92E574F","Santana"
"434","ARB0T441187FB3B064",40.71455,-74.00712,"TRAPUED128F92C5741","Grachan Moncur III"
"435","ARB1LM61187FB4DDF4",38.57842,-93.2393,"TRALKHJ128F92E9D36","Leroy Van Dyke"
"436","ARB29H41187B98F0EF",41.88415,-87.63241,"TRACWEH128F1456890","Terry Callier"
"437","ARB2M051187FB56FA9",40.71455,-74.00712,"TRAXLAY12903CA8612","The Sugarhill Gang"
"438","ARB336A1187B9A4583",42.25147,-83.18186,"TRANTAN128E078B326","The MC5"
"439","ARB6OGR1187FB4D43D",43.58015,7.12123,"TRASBSO128F1465A78","M83"
"440","ARB8KZ11187B9A21ED",32.67828,-83.22295,"TRBCIXP128F14A3016","Steve Harvey"
"441","ARB9WJ11187B98BF17",42.08317,-71.01724,"TRAIDMR128F9327232","Steve Smith"
"442","ARBAW9R1187B98FB6B",51.50632,-0.12714,"TRAWFTQ12903CAC1FA","Natasha Bedingfield"
"443","ARBBFSA122ECCBD070",51.16418,10.45415,"TRASPVS128F92F6EA3","089 Clique feat. Minnesota Snipe & Skinny Cueball"
"444","ARBD4QW1187FB42153",62.19845,17.55142,"TRAJFCB128F427FE87","Scar Symmetry"
"445","ARBE9XH1187B9A826F",40.65507,-73.94888,"TRAZLIO128F92F1DB0","Joell Ortiz"
"446","ARBFCK11187FB4C89B",36.17191,-115.13997,"TRAGQLG128F9351109","Brian Eno And David Byrne"
"447","ARBFDJW1187B9AD27A",30.2676,-97.74298,"TRAJMEL128F4262B4A","The Fabulous Thunderbirds"
"448","ARBGXIG122988F409D",37.77916,-122.42005,"TRABBAM128F429D223","Steel Rain"
"449","ARBJC9U1187B9A70AC",39.95227,-75.16237,"TRARKAN128F429AB6D","Kitty Kallen"
"450","ARBJI5N1187FB400D0",40.71455,-74.00712,"TRASTZY128F145B055","Jay & The Americans"
"451","ARBKUS51187B98A3AC",35.4948,-85.01235,"TRAAIIE128F4288BB1","Howard Armstrong"
"452","ARBLIP81187B98BE0C",18.11526,-77.27348,"TRAFNVQ12903CE7322","Judy Mowatt"
"453","ARBM57Q1187B9AF97C",34.05349,-118.24532,"TRACFBD128F426CC34","James Horner"
"454","ARBNXYA1187FB51C50",18.22328,-66.42889,"TRAOQFQ128F92F476E","Daddy Yankee / Bounty Killer"
"455","ARBOG0H1187B99F775",47.565,-122.62569,"TRACPIC128E0792500","MxPx"
"456","ARBQPXY1187B98D67B",25.89958,-97.49553,"TRACJWY12903CB7DBF","Kris Kristofferson"
"457","ARBR7II1187B9B821E",40.65507,-73.94888,"TRBBMTZ128F4260C61","The Flesh"
"458","ARBU6D71187B9B5319",30.19145,-93.58068,"TRAYUID128EF340775","Clarence Gatemouth Brown"
"459","ARBUHDB1187FB3E72C",46.87591,-96.78176,"TRAXIPR128F14882B2","Bobby Vee"
"460","ARBUOMY1187B99F2EB",37.77916,-122.42005,"TRAXRPG12903CEDD73","Messy Marv featuring Clover Geez"
"461","ARBV2AK1187FB5BA33",39.95227,-75.16237,"TRBEJKW128F92FCEED","Len Barry"
"462","ARBWFER11C8A42BA94",37.77916,-122.42005,"TRAMXIQ128F4246FAF","The Weegs"
"463","ARBYFR71187B99A2A4",30.2676,-97.74298,"TRAOPNO128F92CE9BC","Sam Baker"
"464","ARBZAIL1187FB5B1C8",42.31256,-71.08868,"TRAXMHR128F421A89B","Bob Margolin"
"465","ARC0MTS1187FB44C21",50.84838,4.34968,"TRAJBRT128F9303318","Toots Thielemans"
"466","ARC15471187FB4640C",38.49809,-98.32023,"TRAGTXE128F4229231","Hurricane"
"467","ARC18161187FB4CF4B",40.71455,-74.00712,"TRAMODP128F426247B","Amil"
"468","ARC2BFH1187B98F3C8",40.71455,-74.00712,"TRAMLJB128F4220AC2","Pete Miser"
"469","ARC3EZO1187B9B9314",-24.9162,133.39311,"TRAKPSU12903CF473D","Angels"
"470","ARC3JTL1187FB4A1CE",39.74023,-75.55084,"TRBHUQW12903CA89A7","Hawkshaw Hawkins"
"471","ARC4O5Z1187B9AE91F",46.71067,1.71819,"TRAOGVB128F92D5779","Klimperei"
"472","ARC6UC81187B989062",40.71455,-74.00712,"TRAAQBF12903CF796B","Hem"
"473","ARC7C241187B990F7F",33.74831,-84.39111,"TRAPDQG128F93018C0","Becoming The Archetype"
"474","ARC95UW1187B9B9A62",43.04181,-87.90684,"TRAZPQE12903CEDBDD","Speech"
"475","ARCBYJW1187FB51FD8",41.88415,-87.63241,"TRAJCJT128F4269E0C","Major Lance"
"476","ARCDCFY122ECCBCC6A",40.99471,-77.60454,"TRBEPWY12903CB1CBE","Proficy"
"477","ARCDQRB11F4C844880",40.71455,-74.00712,"TRATJNG128F4255834","G.G. Allin"
"478","ARCDXI51187FB57A2E",40.19033,-82.66947,"TRBHPLS12903CB0FE6","Goose"
"479","ARCEEC91187B9AC4FB",44.97903,-93.26493,"TRAQNHD128F42438E2","Alexander O'Neal"
"480","ARCEOW71187B9A5A71",51.50632,-0.12714,"TRABLVP128F426EE4A","B.A.D."
"481","ARCF2WB1187FB54132",-24.9162,133.39311,"TRBDOTZ128F422A961","Lightforce"
"482","ARCH7RE1187FB5B1B9",30.22032,-92.01705,"TRAMZVC128F92E0729","Red Stick Ramblers"
"483","ARCHKD91187B9A0A42",40.71455,-74.00712,"TRBHZNF128F14989FE","The Ronettes"
"484","ARCHVKD1187B9934E9",37.77916,-122.42005,"TRAFKTU128F4234726","Bill Perkins"
"485","ARCICZN11EB9C810B3",27.9758,-81.54106,"TRABLJH12903CD14F8","Rising Lion"
"486","ARCII0J1187FB3A1B4",40.71455,-74.00712,"TRAXEDF12903CD5DFB","The Marx Brothers"
"487","ARCIXWX1187FB4F1DF",37.77916,-122.42005,"TRALMDB12903CCE912","3 Way Funk"
"488","ARCK6OL1187B99B25F",27.9758,-81.54106,"TRAIMTO128F4288EEF","Alas"
"489","ARCLCFS1187B9AE476",-23.56287,-46.65466,"TRAAQWF128F92D1AAD","Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd"
"490","ARCLJQZ11E2835CE37",37.80506,-122.27302,"TRAJVMY128F147BF78","Alvin Youngblood Hart"
"491","ARCLLH11187FB48DE0",32.77815,-96.7954,"TRBCSPV128F4262DD7","Jimmie Vaughan"
"492","ARCP8YG1187B997D72",52.88356,-1.97406,"TRABNNO128F9342FE3","Claire Hamill"
"493","ARCP94M1187B9B0F56",42.88544,-78.87846,"TRAFYYU128F4229376","Every Time I Die"
"494","ARCPN4U1187B9A94B7",42.21464,-72.59378,"TRAMOOQ128F93268E3","Freakhouse"
"495","ARCPY7O1187FB5C0B7",30.2676,-97.74298,"TRBFLFI128F427F374","RIDDLIN' KIDS"
"496","ARCQCYR1187B99367F",46.53338,-93.70737,"TRBIFAU128F9328EC4","Jonathan Edwards / Will Ferrell"
"497","ARCQQ3S1187B9A6D98",31.1689,-100.07715,"TRBCRNO128F92E2AA2","DJ Primo"
"498","ARCSHVZ11C8A41575B",36.0632,-94.15791,"TRAQVFU12903CDCB07","Take It Back!"
"499","ARCW5RB1187FB4383F",31.1689,-100.07715,"TRARHMM128F92F2DC9","Jessie Lee Miller"
"500","ARCZ20M1187FB49687",32.77942,-91.56123,"TRAMXVY128F931C1EF","Tony Joe White"
"501","ARCZN5K1187FB42CF8",31.1689,-100.07715,"TRBGTPL128E0783C11","Joe Lopez"
"502","ARD0FN11187B9B25CD",40.85715,-73.85678,"TRAIRLU128F92D0250","Bobby Darin"
"503","ARD2F1Z1187FB3D27E",18.11526,-77.27348,"TRBDGOB12903CD8CB9","Carlton Livingston"
"504","ARD2HR71187B99548F",34.80046,-87.67525,"TRAIJGU128F931FA16","Jimmy Hughes"
"505","ARD4LQ61187FB470F1",33.53584,-92.82984,"TRBIGUJ128F92D674F","Little Willie John"
"506","ARD5K161187B9AC784",51.27562,0.17898,"TRAASFP128F42980BD","Orbital"
"507","ARD5SR21187B9B5F4A",60.99655,24.49511,"TRAOZSG128EF3428D8","Irwin Goodman"
"508","ARD6L7O1187B995ADA",51.73569,0.47791,"TRAJEIK128F92F19EA","Dave Valentin"
"509","ARD7U0O1187FB5531A",49.34463,2.40955,"TRAJFYH128F4246121","Andre Verchuren"
"510","ARD842G1187B997376",43.64856,-79.38533,"TRAHRRS128F4282F7A","Blue Rodeo"
"511","ARD94MR11C8A42B029",35.83073,-85.97874,"TRAMDVH12903CDCD55","Richie McDonald"
"512","ARD9THI1187B98EAD0",31.1689,-100.07715,"TRAVUYL128F934A9C5","Larissa"
"513","ARDBSFT1187B9AC9C1",40.71455,-74.00712,"TRANUME128E0789D4C","Fountains Of Wayne"
"514","ARDC3571187B9988E1",33.76672,-118.1924,"TRAJUAP128F423CB89","Nu Flavor"
"515","ARDCKVJ1187FB54D1F",35.78032,-87.46671,"TRAXPYB128F92FA0EB","Syl Johnson"
"516","ARDCQM61187B9951CE",-33.86963,151.20695,"TRAHROM128F9308F9B","Sneaky Sound System"
"517","ARDD9UN1187B98D3A7",31.84666,-91.657,"TRAAHKE128F421389B","Sonny Simmons"
"518","ARDDWUI1187FB379F7",60.17116,24.93258,"TRAHCTH128F9330B4A","Amoral"
"519","ARDE52X1187FB438CD",32.67828,-83.22295,"TRBBNRP128F92EDD9D","Billy Pilgrim"
"520","ARDE7I31187FB43352",23.1168,-82.38859,"TRAHOIN128F1473575","Gonzalo Rubalcaba"
"521","ARDF6RM1187FB5A409",40.71455,-74.00712,"TRAOXGY12903CD926C","Martin Denny"
"522","ARDFZE61187FB45994",35.83073,-85.97874,"TRAUIYH128E078DA2F","Jake Hess"
"523","ARDG6IY1187B9AAE87",47.04954,8.30437,"TRAIQQM128F429596C","Mothers Pride"
"524","ARDG9Z71187B997023",51.50632,-0.12714,"TRAMDQE128F1458F98","Public Image Ltd"
"525","ARDGB6U1187FB3AD07",51.50632,-0.12714,"TRAAEMJ128F425A917","Eurythmics"
