"","V1","V2","V3","V4"
"559",1998,"TRBHZAA128F4271AE9","K's Choice","20.000 Seconds"
"560",1998,"TRBGUHX128F4279757","K's Choice","God In My Bed"
"561",1998,"TRAEZKA128F4282B79","Kaija Koo","Savu hälvenee"
"562",1998,"TRAKGGU128F428D83C","Kisha","Why?"
"563",1998,"TRAEUJB128F427B76F","Lee Ritenour","Can You Feel It?"
"564",1998,"TRAEFPN128F930BD07","Les Malpolis","Les Amours de Nathalie"
"565",1998,"TRABDVD128F4292CDF","Lisa Lynne","Lake Of Dreams"
"566",1998,"TRARFAV128F428B7B2","Los Amigos Invisibles","Nerio Compra Una Contestadora"
"567",1998,"TRANKYM128F428B7A4","Los Amigos Invisibles","Ultra-Funk"
"568",1998,"TRBDZES128F424080B","Luciana Souza","Azul Contente"
"569",1998,"TRAZHXM128F146F711","M.A. Numminen","KOOKOSP}HKIN} - I'VE GOT A LOVELY BUNCH OF COCONUTS-"
"570",1998,"TRAEWGT128F930A556","Mandi","Pieni Maailma"
"571",1998,"TRAXGZH128F427D44C","Martin Sexton","Glory Bound (LP Version)"
"572",1998,"TRBBGDK128F427D450","Martin Sexton","My Maria (LP Version)"
"573",1998,"TRAXTAU128F930A7EF","Mithotyn","Let Thy Ale Swing"
"574",1998,"TRAVCNA128F930975C","Mithotyn","On Misty Pathways"
"575",1998,"TRBEFFG128E0793C24","Monster Magnet","Black Celebration"
"576",1998,"TRBIJMU12903CF892B","Moonspell","The Hanged Man"
"577",1998,"TRBDLXE128F9310E95","Mudhoney","Beneath The Valley Of The Underdog (Album Version + Hidden Track Talkin' Randy Tate's...)"
"578",1998,"TRABDTV128E0791839","Natural Elements","Mayday"
"579",1998,"TRADHBZ128F932D9E9","Nic Endo","Future Prospects"
"580",1998,"TRAKHUW12903CF0048","Old Man's Child","Towards Eternity"
